Date,Closing,Opening,High,Low,Volume,Diff %
01.06.2022,1818.07,1941.81,1971.22,1770.85,1290000.00,-6.37000
31.05.2022,1941.79,1998.46,2015.02,1928.93,933240.00,-2.84000
30.05.2022,1998.46,1813.56,2009.95,1804.33,1040000.00,окт.19
29.05.2022,1813.56,1792.25,1824.81,1764.72,554580.00,1.16000
28.05.2022,1792.68,1724.67,1807.79,1722.88,658230.00,3.97000
27.05.2022,1724.3,1793.19,1820.82,1708.62,1570000.00,-3.85000
26.05.2022,1793.42,1942.89,1964.91,1744.12,1420000.00,-7.69000
25.05.2022,1942.91,1979.4,2020.64,1937.52,639930.00,-1.84000
24.05.2022,1979.35,1973.01,1992.6,1914.48,620410.00,0.33000
23.05.2022,1972.93,2043.19,2086.21,1959.57,738090.00,-3.44000
22.05.2022,2043.19,1975.12,2055.15,1966.34,425980.00,3.45000
21.05.2022,1975.12,1959.79,1989.44,1940.59,292470.00,0.78000
20.05.2022,1959.85,2019.36,2061.08,1923.86,699690.00,-2.95000
19.05.2022,2019.34,1913.99,2039.71,1903.67,858970.00,5.61000
18.05.2022,1912.12,2091.05,2108.84,1909.56,751820.00,-8.56000
17.05.2022,2091.14,2023,2120.03,2008.84,736630.00,3.37000
16.05.2022,2022.93,2145.86,2145.86,1979.93,950850.00,-5.73000
15.05.2022,2145.86,2056.33,2161.78,2001.74,589770.00,4.36000
14.05.2022,2056.3,2009.55,2068.66,1952.07,656940.00,2.33000
13.05.2022,2009.53,1955.59,2146.22,1941.53,1340000.00,2.77000
12.05.2022,1955.36,2087.17,2190.51,1796.24,2840000.00,-6.03000
11.05.2022,2080.79,2342.27,2451.33,2007.57,2700000.00,-11.16000
10.05.2022,2342.3,2229.69,2455.19,2202.02,1950000.00,5.08000
09.05.2022,2229.1,2519.98,2529.35,2228.9,1930000.00,-11.54000
08.05.2022,2519.98,2636.03,2641.84,2492.59,925400.00,-4.4000
07.05.2022,2636.03,2692.92,2703.11,2589.29,458050.00,-2.11000
06.05.2022,2692.88,2747.6,2757.14,2635.85,881180.00,-1.99000
05.05.2022,2747.46,2940.7,2952.84,2730.95,899820.00,-6.57000
04.05.2022,2940.7,2781.47,2963.54,2773.9,662070.00,5.72000
03.05.2022,2781.47,2856.01,2861.42,2757.36,447800.00,-2.61000
02.05.2022,2856.01,2825.65,2879.99,2780.08,617740.00,1.07000
01.05.2022,2825.8,2727.2,2847.02,2720.57,512010.00,3.62000
30.04.2022,2727.18,2817.14,2841.16,2716.31,430980.00,-3.18000
29.04.2022,2816.66,2937.01,2946.18,2778.33,629560.00,-4.1000
28.04.2022,2937.01,2889.01,2977.78,2856.42,726030.00,1.66000
27.04.2022,2888.99,2810.42,2916.39,2795.58,602240.00,02.авг
26.04.2022,2810.42,3006.04,3032.7,2768.38,694460.00,-6.51000
25.04.2022,3006.04,2922.03,3023.23,2800.21,807690.00,2.88000
24.04.2022,2922.03,2931.9,2966.94,2915.66,269290.00,-0.34000
23.04.2022,2931.9,2963,2977.45,2917.84,227070.00,-1.05000
22.04.2022,2963,2983.91,3029.14,2937.47,544890.00,-0.7000
21.04.2022,2983.95,3076.06,3176.69,2950.97,675440.00,-3
20.04.2022,3076.38,3101.79,3161.9,3037.67,512720.00,-0.83000
19.04.2022,3102.01,3055.86,3128.86,3030.32,427140.00,1.52000
18.04.2022,3055.64,2989.05,3069.07,2887.25,681760.00,2.23000
17.04.2022,2989.05,3058.96,3081.14,2983.17,311540.00,-2.29000
16.04.2022,3058.96,3042.01,3084.84,3011.47,245470.00,0.56000
15.04.2022,3042.01,3021.93,3056.84,2996.62,309950.00,0.66000
14.04.2022,3021.93,3117.21,3143.18,2980.84,546540.00,-3.05000
13.04.2022,3116.92,3027.64,3128.2,2999.66,563890.00,2.96000
12.04.2022,3027.25,2978.45,3082.02,2951.8,790540.00,1.64000
11.04.2022,2978.29,3201.99,3213.52,2953.66,876670.00,-6.98000
10.04.2022,3201.84,3259.59,3306.14,3198.1,327860.00,-1.76000
09.04.2022,3259.35,3193.54,3268.18,3182.1,283240.00,2.05000
08.04.2022,3193.93,3228.83,3311.42,3174.14,654820.00,-1.08000
07.04.2022,3228.84,3169.58,3268.56,3143.96,569390.00,1.87000
06.04.2022,3169.58,3406.83,3406.87,3164.24,950590.00,-6.96000
05.04.2022,3406.78,3520.35,3554.54,3400.74,500270.00,-3.23000
